"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T13","rho.plug",0.795,20,5,0.5,200,100,FALSE,TRUE,1
"T13","rho.adj",0.8,20,5,0.5,200,100,FALSE,TRUE,1
"T21","rho.sharp",0.71,20,5,0.5,200,100,FALSE,TRUE,1
"T21","rho.oracle",0.805,20,5,0.5,200,100,FALSE,TRUE,1
"T21","rho.plug",0.785,20,5,0.5,200,100,FALSE,TRUE,1
"T21","rho.adj",0.8,20,5,0.5,200,100,FALSE,TRUE,1
"T22","rho.sharp",0.695,20,5,0.5,200,100,FALSE,TRUE,1
"T22","rho.oracle",0.845,20,5,0.5,200,100,FALSE,TRUE,1
"T22","rho.plug",0.815,20,5,0.5,200,100,FALSE,TRUE,1
"T22","rho.adj",0.78,20,5,0.5,200,100,FALSE,TRUE,1
"T23","rho.sharp",0.535,20,5,0.5,200,100,FALSE,TRUE,1
"T23","rho.oracle",0.76,20,5,0.5,200,100,FALSE,TRUE,1
"T23","rho.plug",0.74,20,5,0.5,200,100,FALSE,TRUE,1
"T23","rho.adj",0.79,20,5,0.5,200,100,FALSE,TRUE,1
"T31","rho.sharp",0.38,20,5,0.5,200,100,FALSE,TRUE,1
"T31","rho.oracle",0.85,20,5,0.5,200,100,FALSE,TRUE,1
"T31","rho.plug",0.855,20,5,0.5,200,100,FALSE,TRUE,1
"T31","rho.adj",0.85,20,5,0.5,200,100,FALSE,TRUE,1
"T32","rho.sharp",0.4,20,5,0.5,200,100,FALSE,TRUE,1
"T32","rho.oracle",0.77,20,5,0.5,200,100,FALSE,TRUE,1
"T32","rho.plug",0.83,20,5,0.5,200,100,FALSE,TRUE,1
"T32","rho.adj",0.8,20,5,0.5,200,100,FALSE,TRUE,1
"T33","rho.sharp",0.525,20,5,0.5,200,100,FALSE,TRUE,1
"T33","rho.oracle",0.735,20,5,0.5,200,100,FALSE,TRUE,1
"T33","rho.plug",0.7,20,5,0.5,200,100,FALSE,TRUE,1
"T33","rho.adj",0.75,20,5,0.5,200,100,FALSE,TRUE,1
"T41","rho.sharp",0.38,20,5,0.5,200,100,FALSE,TRUE,1
"T41","rho.oracle",0.85,20,5,0.5,200,100,FALSE,TRUE,1
"T41","rho.plug",0.855,20,5,0.5,200,100,FALSE,TRUE,1
"T41","rho.adj",0.85,20,5,0.5,200,100,FALSE,TRUE,1
"T42","rho.sharp",0.4,20,5,0.5,200,100,FALSE,TRUE,1
"T42","rho.oracle",0.77,20,5,0.5,200,100,FALSE,TRUE,1
"T42","rho.plug",0.83,20,5,0.5,200,100,FALSE,TRUE,1
"T42","rho.adj",0.8,20,5,0.5,200,100,FALSE,TRUE,1
"T43","rho.sharp",0.525,20,5,0.5,200,100,FALSE,TRUE,1
"T43","rho.oracle",0.735,20,5,0.5,200,100,FALSE,TRUE,1
"T43","rho.plug",0.7,20,5,0.5,200,100,FALSE,TRUE,1
"T43","rho.adj",0.75,20,5,0.5,200,100,FALSE,TRUE,1
"T11","rho.sharp",0,80,20,0.5,200,NA,FALSE,TRUE,1
"T11","rho.oracle",0.595,80,20,0.5,200,NA,FALSE,TRUE,1
"T11","rho.plug",0.59,80,20,0.5,200,NA,FALSE,TRUE,1
"T11","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T12","rho.sharp",0,80,20,0.5,200,NA,FALSE,TRUE,1
"T12","rho.oracle",0.515,80,20,0.5,200,NA,FALSE,TRUE,1
"T12","rho.plug",0.53,80,20,0.5,200,NA,FALSE,TRUE,1
"T12","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T13","rho.sharp",0.01,80,20,0.5,200,NA,FALSE,TRUE,1
"T13","rho.oracle",0.46,80,20,0.5,200,NA,FALSE,TRUE,1
"T13","rho.plug",0.44,80,20,0.5,200,NA,FALSE,TRUE,1
"T13","rho.adj",NA,80,20,0.5,200,NA,FALSE,TRUE,1
"T21","rho.sharp",0.04,80,20,0.5,200,NA,FALSE,TRUE,1
"T21","rho.oracle",0.585,80,20,0.5,200,NA,FALSE,TRUE,1
"T21","rho.plug",0.54,80,20,0.5,200,NA,FALSE,TRUE,1
